REC_NO,AFFINITY_CARD,CUST_GENDER,AGE,OCCUPATION,CUST_INCOME_LEVEL,CUST_MARITAL_STATUS,HOUSEHOLD_SIZE,YRS_RESIDENCE,PROD_NAME,PROD_CATEGORY,PROD_SUBCATEGORY,PROD_LIST_PRICE,QUANTITY_SOLD,AMOUNT_SOLD,COUNTRY_NAME
15,0,M,51,Crafts,"F: 110,000 - 129,999",Married,3,5,Keyboard Wrist Rest,Software/Other,Accessories,11.99,1,11.99,USA
16,0,M,51,Crafts,"F: 110,000 - 129,999",Married,3,5,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
17,0,M,51,Crafts,"F: 110,000 - 129,999",Married,3,5,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
18,0,M,30,Sales,"L: 300,000 and above",Married,3,3,Keyboard Wrist Rest,Software/Other,Accessories,11.99,1,11.99,USA
19,0,M,30,Sales,"L: 300,000 and above",Married,3,3,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
20,0,M,38,Cleric.,"J: 190,000 - 249,999",NeverM,2,4,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
21,0,M,45,Machine,"J: 190,000 - 249,999",Divorc.,9+,5,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
22,1,F,30,Prof.,"H: 150,000 - 169,999",Married,4-5,4,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
23,1,M,37,Prof.,"J: 190,000 - 249,999",Married,3,1,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
24,0,M,24,Other,"G: 130,000 - 149,999",NeverM,1,2,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
25,0,M,24,Other,"G: 130,000 - 149,999",NeverM,1,2,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
26,0,M,23,Sales,"I: 170,000 - 189,999",NeverM,1,2,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
27,0,F,55,Machine,"L: 300,000 and above",Divorc.,2,6,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
28,0,F,44,Handler,"L: 300,000 and above",Divorc.,2,6,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
29,0,M,69,TechSup,"F: 110,000 - 129,999",Married,3,5,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
30,0,F,35,Exec.,"J: 190,000 - 249,999",NeverM,2,4,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
31,0,F,35,Exec.,"J: 190,000 - 249,999",NeverM,2,4,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
32,0,F,35,Exec.,"J: 190,000 - 249,999",NeverM,2,4,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
33,0,F,25,Exec.,"J: 190,000 - 249,999",Married,4-5,1,Keyboard Wrist Rest,Software/Other,Accessories,11.99,1,11.99,USA
34,0,M,42,Farming,"H: 150,000 - 169,999",Married,3,6,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
35,0,M,44,TechSup,"D: 70,000 - 89,999",Divorc.,9+,4,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
36,0,F,40,TechSup,"K: 250,000 - 299,999",NeverM,2,5,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
37,0,F,40,TechSup,"K: 250,000 - 299,999",NeverM,2,5,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
38,1,M,53,TechSup,"E: 90,000 - 109,999",Married,3,5,Keyboard Wrist Rest,Software/Other,Accessories,11.99,1,11.99,USA
39,0,M,54,Transp.,"I: 170,000 - 189,999",Divorc.,2,5,Keyboard Wrist Rest,Software/Other,Accessories,11.99,1,11.99,USA
40,1,M,46,Prof.,"L: 300,000 and above",Married,3,6,Keyboard Wrist Rest,Software/Other,Accessories,11.99,1,11.99,USA
41,1,M,46,Prof.,"L: 300,000 and above",Married,3,6,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
42,1,M,46,Prof.,"L: 300,000 and above",Married,3,6,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
43,1,M,46,Prof.,"L: 300,000 and above",Married,3,6,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
44,0,M,41,TechSup,"H: 150,000 - 169,999",NeverM,2,4,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
45,0,F,45,Prof.,"G: 130,000 - 149,999",Divorc.,9+,5,Keyboard Wrist Rest,Software/Other,Accessories,11.99,1,11.99,USA
46,1,M,43,Crafts,"F: 110,000 - 129,999",Married,3,5,Keyboard Wrist Rest,Software/Other,Accessories,11.99,1,11.99,USA
47,1,M,43,Crafts,"F: 110,000 - 129,999",Married,3,5,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
48,1,M,28,Sales,"G: 130,000 - 149,999",Married,3,4,Keyboard Wrist Rest,Software/Other,Accessories,11.99,1,11.99,USA
49,1,M,44,Prof.,"K: 250,000 - 299,999",Married,3,4,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
50,0,M,39,Crafts,"I: 170,000 - 189,999",Married,3,4,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
51,0,M,21,Other,"K: 250,000 - 299,999",NeverM,1,2,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
52,0,F,44,Cleric.,"K: 250,000 - 299,999",Married,4-5,4,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
53,0,M,28,Transp.,"J: 190,000 - 249,999",Married,3,3,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
54,0,F,25,Crafts,"I: 170,000 - 189,999",NeverM,6-8,3,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
55,0,M,27,Crafts,"G: 130,000 - 149,999",Married,3,3,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
56,0,M,27,Crafts,"G: 130,000 - 149,999",Married,3,3,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
57,0,F,19,Other,"L: 300,000 and above",NeverM,6-8,1,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
58,0,M,36,Crafts,"L: 300,000 and above",NeverM,9+,4,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
59,0,M,36,Crafts,"L: 300,000 and above",NeverM,9+,4,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
60,0,F,42,Exec.,"I: 170,000 - 189,999",NeverM,2,4,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
61,0,M,41,Exec.,"F: 110,000 - 129,999",Married,3,4,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
62,0,M,41,Exec.,"F: 110,000 - 129,999",Married,3,4,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
63,0,M,57,Sales,"L: 300,000 and above",Married,3,7,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
64,0,F,45,Prof.,"L: 300,000 and above",NeverM,2,7,Keyboard Wrist Rest,Software/Other,Accessories,11.99,1,11.99,USA
65,0,F,45,Prof.,"L: 300,000 and above",NeverM,2,7,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
66,0,F,45,Prof.,"L: 300,000 and above",NeverM,2,7,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
67,0,F,45,Prof.,"L: 300,000 and above",NeverM,2,7,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
68,0,M,25,Crafts,"J: 190,000 - 249,999",Separ.,1,3,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
69,0,M,25,Crafts,"J: 190,000 - 249,999",Separ.,1,3,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
70,0,M,30,TechSup,"L: 300,000 and above",Married,3,3,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
71,0,M,30,TechSup,"L: 300,000 and above",Married,3,3,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
72,1,F,44,Prof.,"J: 190,000 - 249,999",Married,4-5,4,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
73,0,M,37,Crafts,"C: 50,000 - 69,999",NeverM,9+,4,Keyboard Wrist Rest,Software/Other,Accessories,11.99,1,11.99,USA
74,0,M,37,Crafts,"C: 50,000 - 69,999",NeverM,9+,4,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
75,0,M,27,Protec.,"J: 190,000 - 249,999",NeverM,1,3,Keyboard Wrist Rest,Software/Other,Accessories,11.99,1,11.99,USA
76,0,M,21,Machine,"I: 170,000 - 189,999",Separ.,1,2,Keyboard Wrist Rest,Software/Other,Accessories,11.99,1,11.99,USA
77,0,M,27,Cleric.,"J: 190,000 - 249,999",NeverM,1,3,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
78,0,M,48,Other,"L: 300,000 and above",Married,3,5,Keyboard Wrist Rest,Software/Other,Accessories,11.99,1,11.99,USA
79,0,M,48,Other,"L: 300,000 and above",Married,3,5,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
80,0,M,48,Other,"L: 300,000 and above",Married,3,5,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
81,0,M,46,Exec.,"K: 250,000 - 299,999",Married,3,7,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
82,0,M,46,Exec.,"K: 250,000 - 299,999",Married,3,7,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
83,0,M,28,Farming,"B: 30,000 - 49,999",Married,3,4,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
84,0,M,61,Machine,"I: 170,000 - 189,999",Married,3,6,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
85,0,M,61,Machine,"I: 170,000 - 189,999",Married,3,6,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
86,0,M,61,Machine,"I: 170,000 - 189,999",Married,3,6,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
87,0,F,18,Cleric.,"B: 30,000 - 49,999",NeverM,1,1,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
88,0,F,18,Cleric.,"B: 30,000 - 49,999",NeverM,1,1,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
89,0,M,22,Crafts,"E: 90,000 - 109,999",NeverM,6-8,2,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
90,0,M,22,Prof.,"F: 110,000 - 129,999",NeverM,1,2,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
91,0,F,40,Prof.,"L: 300,000 and above",Married,4-5,4,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
92,0,F,41,Exec.,"G: 130,000 - 149,999",Divorc.,2,4,Keyboard Wrist Rest,Software/Other,Accessories,11.99,1,11.99,USA
93,0,M,41,Farming,"B: 30,000 - 49,999",Married,3,5,Keyboard Wrist Rest,Software/Other,Accessories,11.99,1,11.99,USA
94,0,M,28,Crafts,"I: 170,000 - 189,999",Divorc.,2,4,Keyboard Wrist Rest,Software/Other,Accessories,11.99,1,11.99,USA
95,0,M,28,Crafts,"I: 170,000 - 189,999",Divorc.,2,4,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
96,0,F,65,Other,"H: 150,000 - 169,999",Widowed,9+,3,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
97,0,M,64,Handler,"F: 110,000 - 129,999",Married,3,3,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
98,0,M,28,TechSup,"E: 90,000 - 109,999",NeverM,1,1,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
99,0,M,28,TechSup,"E: 90,000 - 109,999",NeverM,1,1,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
100,0,M,35,Crafts,"H: 150,000 - 169,999",Married,3,4,Keyboard Wrist Rest,Software/Other,Accessories,11.99,1,11.99,USA
101,0,M,35,Crafts,"H: 150,000 - 169,999",Married,3,4,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
102,0,M,24,Machine,"L: 300,000 and above",NeverM,1,1,Keyboard Wrist Rest,Software/Other,Accessories,11.99,1,11.99,USA
103,0,M,25,Other,"K: 250,000 - 299,999",Divorc.,2,3,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
104,0,F,77,House-s,"I: 170,000 - 189,999",Widowed,2,4,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
105,0,F,77,House-s,"I: 170,000 - 189,999",Widowed,2,4,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
106,0,F,28,Cleric.,"C: 50,000 - 69,999",NeverM,1,2,Keyboard Wrist Rest,Software/Other,Accessories,11.99,1,11.99,USA
107,0,F,28,Cleric.,"C: 50,000 - 69,999",NeverM,1,2,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
108,0,F,38,Cleric.,"L: 300,000 and above",Divorc.,2,2,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
109,0,M,29,Protec.,"J: 190,000 - 249,999",NeverM,2,4,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
110,0,M,29,Protec.,"J: 190,000 - 249,999",NeverM,2,4,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
111,0,M,29,Protec.,"J: 190,000 - 249,999",NeverM,2,4,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
112,0,F,40,Other,"E: 90,000 - 109,999",Divorc.,6-8,2,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
113,0,F,40,Other,"E: 90,000 - 109,999",Divorc.,6-8,2,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
114,0,M,44,Prof.,"L: 300,000 and above",NeverM,2,4,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
115,0,M,44,Prof.,"L: 300,000 and above",NeverM,2,4,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
116,0,M,26,Cleric.,"F: 110,000 - 129,999",Married,3,3,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
117,0,F,55,Cleric.,"I: 170,000 - 189,999",Divorc.,2,6,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
118,0,F,34,Prof.,"J: 190,000 - 249,999",NeverM,2,3,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
119,0,F,34,Prof.,"J: 190,000 - 249,999",NeverM,2,3,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
120,0,M,25,Cleric.,"L: 300,000 and above",NeverM,1,3,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
121,0,M,78,?,"A: Below 30,000",Married,3,6,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
122,0,M,78,?,"A: Below 30,000",Married,3,6,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
123,0,F,67,Other,"I: 170,000 - 189,999",Widowed,2,3,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
124,1,M,48,Farming,"E: 90,000 - 109,999",Married,3,6,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
125,1,M,48,Farming,"E: 90,000 - 109,999",Married,3,6,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
126,0,M,57,Sales,"F: 110,000 - 129,999",Married,3,7,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
127,0,M,57,Sales,"F: 110,000 - 129,999",Married,3,7,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
128,0,F,33,TechSup,"E: 90,000 - 109,999",Married,4-5,3,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
129,0,F,47,Exec.,"H: 150,000 - 169,999",Divorc.,9+,5,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
130,0,F,47,Exec.,"H: 150,000 - 169,999",Divorc.,9+,5,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
131,0,M,26,Cleric.,"I: 170,000 - 189,999",Married,3,3,Keyboard Wrist Rest,Software/Other,Accessories,11.99,1,11.99,USA
132,1,M,36,Exec.,"G: 130,000 - 149,999",Married,3,5,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
133,0,F,18,Other,"I: 170,000 - 189,999",NeverM,1,1,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
134,0,M,22,Sales,"G: 130,000 - 149,999",NeverM,2,2,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
135,0,M,22,Sales,"G: 130,000 - 149,999",NeverM,2,2,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
136,0,F,32,Prof.,"F: 110,000 - 129,999",Divorc.,9+,3,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
137,0,F,32,Prof.,"F: 110,000 - 129,999",Divorc.,9+,3,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
138,0,M,56,Transp.,"C: 50,000 - 69,999",NeverM,2,10,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
139,0,M,56,Transp.,"C: 50,000 - 69,999",NeverM,2,10,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
140,0,M,48,Crafts,"I: 170,000 - 189,999",Divorc.,2,5,Keyboard Wrist Rest,Software/Other,Accessories,11.99,1,11.99,USA
141,0,F,19,Cleric.,"B: 30,000 - 49,999",NeverM,2,1,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
142,0,F,27,Cleric.,"I: 170,000 - 189,999",Divorc.,9+,3,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
143,0,F,28,Sales,"D: 70,000 - 89,999",Married,4-5,3,Keyboard Wrist Rest,Software/Other,Accessories,11.99,1,11.99,USA
144,0,F,28,Sales,"D: 70,000 - 89,999",Married,4-5,3,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
145,0,F,28,Sales,"D: 70,000 - 89,999",Married,4-5,3,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
146,0,F,60,?,"F: 110,000 - 129,999",Widowed,9+,3,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
147,0,F,60,?,"F: 110,000 - 129,999",Widowed,9+,3,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
148,1,F,37,Cleric.,"C: 50,000 - 69,999",Married,4-5,4,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
149,1,M,44,Prof.,"H: 150,000 - 169,999",Married,3,4,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
150,0,M,28,Crafts,"J: 190,000 - 249,999",Married,3,3,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
151,1,M,35,Protec.,"I: 170,000 - 189,999",Married,3,4,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
152,1,M,35,Protec.,"I: 170,000 - 189,999",Married,3,4,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
153,1,M,35,Protec.,"I: 170,000 - 189,999",Married,3,4,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
154,0,M,19,Handler,"L: 300,000 and above",NeverM,1,1,Keyboard Wrist Rest,Software/Other,Accessories,11.99,1,11.99,USA
155,0,M,19,Handler,"L: 300,000 and above",NeverM,1,1,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
156,0,M,19,Handler,"L: 300,000 and above",NeverM,1,1,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
157,0,M,22,Prof.,"L: 300,000 and above",NeverM,1,3,Keyboard Wrist Rest,Software/Other,Accessories,11.99,1,11.99,USA
158,0,M,22,Prof.,"L: 300,000 and above",NeverM,1,3,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
159,0,F,26,Other,"K: 250,000 - 299,999",NeverM,1,1,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
160,0,F,26,Other,"K: 250,000 - 299,999",NeverM,1,1,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
161,0,M,31,Machine,"L: 300,000 and above",Married,3,3,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
162,0,M,25,Prof.,"L: 300,000 and above",NeverM,1,1,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
163,0,M,25,Prof.,"L: 300,000 and above",NeverM,1,1,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
164,0,M,47,Prof.,"D: 70,000 - 89,999",Married,3,5,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
165,0,M,47,Prof.,"D: 70,000 - 89,999",Married,3,5,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
166,1,M,36,Prof.,"I: 170,000 - 189,999",Married,3,4,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
167,0,M,28,Prof.,"B: 30,000 - 49,999",NeverM,1,1,Keyboard Wrist Rest,Software/Other,Accessories,11.99,1,11.99,USA
168,0,M,64,?,"K: 250,000 - 299,999",Married,3,3,Keyboard Wrist Rest,Software/Other,Accessories,11.99,1,11.99,USA
169,0,M,64,?,"K: 250,000 - 299,999",Married,3,3,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
170,0,M,64,?,"K: 250,000 - 299,999",Married,3,3,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
171,0,M,42,Crafts,"F: 110,000 - 129,999",Married,3,2,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
172,0,F,17,?,"G: 130,000 - 149,999",NeverM,1,1,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
173,0,F,81,House-s,"F: 110,000 - 129,999",Widowed,2,2,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
174,0,F,81,House-s,"F: 110,000 - 129,999",Widowed,2,2,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
175,0,F,81,House-s,"F: 110,000 - 129,999",Widowed,2,2,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
176,0,M,20,Other,"L: 300,000 and above",NeverM,1,2,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
177,0,M,20,Other,"L: 300,000 and above",NeverM,1,2,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
178,0,M,23,Other,"L: 300,000 and above",NeverM,1,5,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
179,0,F,33,TechSup,"J: 190,000 - 249,999",NeverM,2,3,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
180,0,F,33,TechSup,"J: 190,000 - 249,999",NeverM,2,3,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
181,0,M,26,Crafts,"J: 190,000 - 249,999",Married,3,3,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
182,0,M,26,Crafts,"J: 190,000 - 249,999",Married,3,3,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
183,0,F,32,Prof.,"J: 190,000 - 249,999",Divorc.,9+,3,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
184,1,F,35,Exec.,"G: 130,000 - 149,999",Divorc.,2,4,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
185,1,M,59,Protec.,"J: 190,000 - 249,999",Separ.,2,6,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
186,0,M,46,Farming,"G: 130,000 - 149,999",Mabsent,2,8,Keyboard Wrist Rest,Software/Other,Accessories,11.99,1,11.99,USA
187,0,F,32,Sales,"K: 250,000 - 299,999",NeverM,2,3,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
188,0,F,24,Cleric.,"K: 250,000 - 299,999",Married,4-5,3,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
189,0,F,24,Cleric.,"K: 250,000 - 299,999",Married,4-5,3,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
190,0,F,24,Cleric.,"K: 250,000 - 299,999",Married,4-5,3,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
